
Settings                                             windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.i...
Snipping Tool                                        Microsoft.ScreenSketch_8wekyb3d8bbwe!App                          
Solitaire & Casual Games                             Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App          
Sound Recorder                                       Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App                  
Spotify                                              SpotifyAB.SpotifyMusic_zpdnekdrzrea0!Spotify                      
Spreadsheet Compare                                  Microsoft.Office.SPREADSHEETCOMPARE.EXE.15                        
Spyder                                               anaconda.Spyder.anaconda3.base                                    
Steps Recorder                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                    
Sticky Notes                                         Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App                  
Sticky Notes (new)                                   Microsoft.Office.OneNote.MemoryPreview                            
SyncTrayzor                                          {6D809377-6AF0-444B-8957-A3773F02200E}\SyncTrayzor\SyncTrayzor.exe
System Configuration                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe               
System Information                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe               
Task Manager                                         Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}    
Task Scheduler                                       Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}    
Telegram                                             Telegram.TelegramDesktop                                          
Telemetry Log for Office                             Microsoft.Office.msoev.exe.15                                     
Terminal                                             Microsoft.WindowsTerminal_8wekyb3d8bbwe!App                       
This PC                                              ::{20D04FE0-3AEA-1069-A2D8-08002B30309D}                          
Trae                                                 ByteDance.Trae                                                    
Turbo C++                                            C:\TURBOC3\Turbo C++\Turbo C++.exe                                
TUTORIALS                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manage...
Ubuntu                                               CanonicalGroupLimited.Ubuntu_79rhkp1fndgsc!ubuntu                 
Uninstall Advanced System Repair Pro                 Microsoft.AutoGenerated.{EAABE0A8-E109-AD9C-0D5B-8ECFDD7F257D}    
Uninstall IDM                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manage...
Uninstall Node.js                                    Microsoft.AutoGenerated.{500CD523-E937-17EA-4D2B-546A79C2E66B}    
Uninstall Scilab                                     {6D809377-6AF0-444B-8957-A3773F02200E}\scilab-2025.0.0\unins000...
Uninstall Turbo C++ 3.2                              Microsoft.AutoGenerated.{253F01EF-518F-943E-D0B2-007CCA9E0FBD}    
Unity                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Unity\Hub\Editor\2022.3....
Unity                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Unity\Hub\Editor\6000.0....
Unity Hub                                            com.unity3d.unityhub                                              
Unity Release Notes                                  http://unity3d.com/whatsnew.html                                  
User manual (PDF, English)                           {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\doc\Us...
VideoLAN Website                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\VideoLAN We...
Visit Java.com                                       http://java.com/                                                  
Visual Studio 2022                                   VisualStudio.51884b61                                             
Visual Studio Code                                   Microsoft.VisualStudioCode                                        
Visual Studio Installer                              Microsoft.VisualStudio.Installer                                  
VLC media player                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\vlc.exe       
VLC media player - reset preferences and cache files Microsoft.AutoGenerated.{153C632B-EAE8-4242-71B2-A22CBB429288}    
VLC media player skinned                             Microsoft.AutoGenerated.{4CD87F53-3D39-ECF7-35BC-618ED89D6521}    
Voice access                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe            
Warp                                                 dev.warp.Warp                                                     
Weather                                              Microsoft.BingWeather_8wekyb3d8bbwe!App                           
WhatsApp                                             5319275A.WhatsAppDesktop_cv1g1gvanyjgm!App                        
Windows Backup                                       MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup           
Windows Defender Firewall with Advanced Security     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                     
Windows Media Player Legacy                          Microsoft.Windows.MediaPlayer32                                   
Windows Memory Diagnostic                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                
Windows PowerShell                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\p...
Windows PowerShell (x86)                             {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\p...
Windows PowerShell ISE                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\P...
Windows PowerShell ISE (x86)                         {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\P...
Windows Security                                     Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI                   
Windows Tools                                        Microsoft.Windows.AdministrativeTools                             
Wondershare UniConverter 13                          {6D809377-6AF0-444B-8957-A3773F02200E}\Wondershare\UniConverter...
Word                                                 Microsoft.Office.WINWORD.EXE.15                                   
WSL                                                  Microsoft.WSL                                                     
WSL Settings                                         {6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsetti...
x64 Native Tools Command Prompt for VS 2019          Microsoft.AutoGenerated.{FF70D809-A022-5972-850F-19E0AA8C07C2}    
x64_x86 Cross Tools Command Prompt for VS 2019       Microsoft.AutoGenerated.{F19FC46A-6F24-4DEB-153B-68D242AA0EEF}    
x86 Native Tools Command Prompt for VS 2019          Microsoft.AutoGenerated.{C22C6157-8D44-071B-A914-083F92AA20D0}    
x86_x64 Cross Tools Command Prompt for VS 2019       Microsoft.AutoGenerated.{1248DF79-8DF1-B616-B28A-9D102F13D20B}    
Xbox                                                 Microsoft.GamingApp_8wekyb3d8bbwe!Microsoft.Xbox.App              


